model,segment,method,observation,cases,valid_share,mean_R2,a_mae,g_mae,q_mae,gamma_mae,k_mae
base,early,direct,clean,5,0.864406779661017,,3.0507839968755575e-07,,,,4.569546097040116e-14
base,early,direct,noisy,5,0.9050847457627118,,11.586609420319704,,,,0.09284422869909373
base,early,regression,clean,5,0.9541666666666668,0.9996833140853572,0.001066269945830162,,,,2.8740773524868355e-16
base,early,regression,noisy,5,1.0,0.8666261454969097,0.1451254191189126,,,,0.004155366948631592
base,late,direct,clean,5,0.6,,3.5773853015699485e-16,,,,5.1810407815840633e-17
base,late,direct,noisy,5,0.96,,0.8657300656905115,,,,0.012556183221593775
base,late,regression,clean,5,0.6,1.0,5.921189464667501e-16,,,,1.8654767828735622e-16
base,late,regression,noisy,5,1.0,0.8367224983357445,0.1737783316493469,,,,0.004032756021814486
base,middle,direct,clean,5,0.6,,4.1899942398282742e-16,,,,4.892508244110859e-17
base,middle,direct,noisy,5,0.9288135593220339,,0.756134832020185,,,,0.012342985021447294
base,middle,regression,clean,5,0.6101694915254237,0.9863683596751134,0.04121091157454796,,,,2.6093377301924584e-16
base,middle,regression,noisy,5,1.0,0.8176663545840179,0.12202249853851872,,,,0.003674935230254764
delay,early,direct,clean,5,0.8413793103448276,,,0.02219725120744539,,,0.01190743268716112
delay,early,direct,noisy,5,0.6310344827586206,,,44.875281918984726,,,0.4073470532213941
delay,early,regression,clean,5,0.85,0.8473639229359877,,0.23662670953067577,,,0.07643860037998954
delay,early,regression,noisy,5,0.8,0.6388099170431939,,0.3002868642261571,,,0.12464032506943024
delay,late,direct,clean,5,0.6542372881355932,,,2.955608488569762e-06,,,8.347548170586023e-16
delay,late,direct,noisy,5,0.49830508474576274,,,2.5795912144919675,,,0.24096423807232736
delay,late,regression,clean,5,0.7877551020408163,0.999703105207207,,0.00025119898447925767,,,1.9660404626403338e-16
delay,late,regression,noisy,5,0.5224489795918368,0.4991146192396788,,0.20579100682822152,,,0.010087564250260993
delay,middle,direct,clean,5,0.8,,,1.938683991004978e-09,,,7.012908772215572e-16
delay,middle,direct,noisy,5,0.5266666666666666,,,48.904790949004514,,,0.10700934654024713
delay,middle,regression,clean,5,0.8,1.0,,3.08264799044926e-11,,,1.7547168990897601e-16
delay,middle,regression,noisy,5,0.5830508474576271,0.5249572381910603,,0.20440945264055146,,,0.01107642406867405
mixed,early,direct,clean,7,0.6206896551724138,,,,0.15715280693280298,0.08372453918715399,0.12593150249959165
mixed,early,direct,noisy,7,0.5467980295566502,,,,251.1747389172046,1.0084787601245437,0.5371555300659867
mixed,early,regression,clean,7,0.6785714285714286,0.6385906857553597,,,0.8337102040404828,0.46703032398558253,0.5236061553792586
mixed,early,regression,noisy,7,0.681547619047619,0.6169284302114612,,,0.9813348814819024,0.5416576888234664,0.6077047956123194
mixed,late,direct,clean,7,0.14285714285714285,,,,2.0322726552460493e-16,6.774242184153498e-17,6.021548608136442e-17
mixed,late,direct,noisy,7,0.4382566585956416,,,,1.6160527833407123,0.3178234246973899,0.2654061133778067
mixed,late,regression,clean,7,0.42857142857142855,1.0,,,0.7422934912215782,0.6881279895421732,0.6384259121714188
mixed,late,regression,noisy,7,0.5714285714285714,0.9094448238227386,,,0.4416884459367756,0.3234555538966415,0.26226270103012517
mixed,middle,direct,clean,7,0.18159806295399514,,,,8.857735315623895e-07,7.086189280273968e-07,7.873543644351924e-07
mixed,middle,direct,noisy,7,0.4382566585956416,,,,2.9283627369783742,0.36629181905144126,0.3180032199159156
mixed,middle,regression,clean,7,0.549636803874092,0.9998554107847448,,,0.3634404702778997,0.3121080490079658,0.27581747247653826
mixed,middle,regression,noisy,7,0.5714285714285714,0.8801664415895822,,,0.24752171333452544,0.23065067690438462,0.17869862866669534
