model,lags,window,mean_rho,false_lag_rate,hit_rate,no_model_share,std_b_sum
base,3,15,3.75,0.2883838383838384,1.0,0.0,0.41238237782666515
base,3,20,5.0,0.3106770833333334,1.0,0.0,0.36744316521415565
base,3,25,6.25,0.30026881720430104,1.0,0.0,0.30218579908309173
base,3,30,7.5,0.31277777777777777,0.9966666666666666,0.0,0.1336082853695819
base,3,40,10.0,0.3467261904761905,0.9571428571428571,0.0,0.12285265775832847
base,3,50,12.5,0.37596153846153846,0.9423076923076923,0.0,0.12567375720742777
base,5,15,3.75,0.33651515151515154,1.0,0.0,0.3202343850749873
base,5,20,5.0,0.3293229166666667,1.0,0.0,0.33053722702696964
base,5,25,6.25,0.34155913978494623,1.0,0.0,0.33765706319744293
base,5,30,7.5,0.36072222222222217,1.0,0.0,0.30611718190473813
base,5,40,10.0,0.38708333333333333,0.9642857142857143,0.0,0.0944654477271182
base,5,50,12.5,0.39621794871794874,0.9384615384615385,0.0,0.0955708423451345
base,10,20,5.0,0.37787348935786436,1.0,0.0,0.25903949177268015
base,10,25,6.25,0.36852092352092347,1.0,0.0,0.30177106087917027
base,10,30,7.5,0.38857010582010576,1.0,0.0,0.30498532345282847
base,10,40,10.0,0.49993596681096686,0.9214285714285715,0.0,0.31167877677939954
base,10,50,12.5,0.6713396325896326,0.7769230769230769,0.0,0.31270936418319045
delay,3,15,1.7083333333333333,0.0,1.0,0.0,0.03765264341054713
delay,3,20,2.277777777777778,0.021875000000000002,1.0,0.0,0.03306409496336624
delay,3,25,2.8472222222222228,0.03763440860215054,1.0,0.0,0.02740316675583616
delay,3,30,3.4166666666666665,0.09759259259259258,1.0,0.0,0.018246987744488585
delay,3,40,4.555555555555556,0.1484126984126984,1.0,0.0,0.00017835195209734374
delay,3,50,5.6944444444444455,0.1688034188034188,1.0,0.0,1.609957321382491e-05
delay,5,15,1.7083333333333333,0.0,1.0,0.0,0.10195951403213098
delay,5,20,2.277777777777778,0.011805555555555555,1.0,0.0,0.09107644452583158
delay,5,25,2.8472222222222228,0.053763440860215055,1.0,0.0,0.07665078311044445
delay,5,30,3.4166666666666665,0.09555555555555556,1.0,0.0,0.06169912893059562
delay,5,40,4.555555555555556,0.1869047619047619,1.0,0.0,0.012882802941638745
delay,5,50,5.6944444444444455,0.23183760683760682,1.0,0.0,0.01236843174337377
delay,10,20,2.277777777777778,0.0,1.0,0.0,0.25531987387200034
delay,10,25,2.8472222222222228,0.02539589442815249,1.0,0.0,0.11396632883114405
delay,10,30,3.4166666666666665,0.14053872053872055,1.0,0.0,0.11339660605136882
delay,10,40,4.555555555555556,0.30476190476190473,1.0,0.0,0.11107722356030354
delay,10,50,5.6944444444444455,0.3869658119658119,1.0,0.0,0.10859446541581086
mixed,3,15,6.25,0.04242424242424243,0.4590909090909091,0.49696969696969695,0.09365173916410295
mixed,3,20,8.333333333333334,0.029166666666666667,0.4734375,0.496875,0.042419720294572257
mixed,3,25,10.416666666666668,0.015053763440860212,0.4903225806451613,0.4967741935483871,0.02959415348848659
mixed,3,30,12.5,0.006111111111111111,0.5016666666666667,0.49666666666666665,0.025402775459776795
mixed,3,40,16.666666666666668,0.010714285714285714,0.5035714285714286,0.49642857142857144,0.024017415781541544
mixed,3,50,20.833333333333336,0.0038461538461538464,0.5038461538461538,0.49615384615384617,0.024936281360924538
mixed,5,15,6.25,0.09242424242424242,0.4090909090909091,0.49696969696969695,0.16241165381606268
mixed,5,20,8.333333333333334,0.022916666666666665,0.47968750000000004,0.496875,0.04412923132433722
mixed,5,25,10.416666666666668,0.023655913978494623,0.482258064516129,0.4967741935483871,0.027342317740860232
mixed,5,30,12.5,0.006111111111111111,0.5033333333333333,0.49666666666666665,0.026097982868002315
mixed,5,40,16.666666666666668,0.010714285714285714,0.5035714285714286,0.49642857142857144,0.027931220814262168
mixed,5,50,20.833333333333336,0.008333333333333333,0.5038461538461538,0.49615384615384617,0.02999528956897021
mixed,10,20,8.333333333333334,0.1203125,0.38125000000000003,0.496875,0.2803967559683564
mixed,10,25,10.416666666666668,0.017204301075268817,0.4854838709677419,0.4967741935483871,0.1422892567371661
mixed,10,30,12.5,0.018333333333333333,0.495,0.49666666666666665,0.001535053402952512
mixed,10,40,16.666666666666668,0.033928571428571426,0.5017857142857143,0.49642857142857144,0.00029348370983261064
mixed,10,50,20.833333333333336,0.03717948717948718,0.5038461538461538,0.49615384615384617,6.173251882137833e-05
