stage,method,false_lag_rate,hit_rate,coef_mae,sign_correct_share
early,elastic_net,0.5363189935064935,0.9375,0.22594018733241467,0.9375
early,enter,0.7156371753246753,1.0,0.2722232778546786,0.975
early,lasso,0.10166666666666666,0.9375,0.06123028540998128,0.9375
early,ridge,0.7989375901875901,1.0,0.30971900436945426,1.0
early,stepwise,0.13156565656565658,0.95,0.060478499776593156,0.95
late,elastic_net,0.6273427552839317,0.875,0.3154898607404779,0.875
late,enter,0.8053184152448859,1.0,0.37422188856242855,1.0
late,lasso,0.125,0.875,0.09701845891425669,0.875
late,ridge,0.869817396655632,0.875,0.3743365847598101,1.0
late,stepwise,0.2787433155080214,0.9558823529411765,0.12901670758856332,0.9558823529411765
middle,elastic_net,0.6393875732111026,0.875,0.31137873279008427,0.875
middle,enter,0.7775273745861981,1.0,0.34650403330494656,1.0
middle,lasso,0.125,0.875,0.09716519075048446,0.875
middle,ridge,0.8832977888124947,0.8823529411764706,0.37572230471266754,1.0
middle,stepwise,0.2566844919786096,0.9705882352941176,0.11441231758921014,0.9705882352941176
