alpha,model,case,regime,windows,false_lag_rate,miss_rate,no_model_share,exact_recovery,mean_selected_count,interpretable_share
0.01,base,base_a_0_8,устойчивое насыщение,155,0.07129451193967323,0.8064516129032258,0.8064516129032258,0.10967741935483871,0.7483870967741936,0.07096774193548387
0.01,base,base_a_2_2,затухающие колебания,155,0.7209128147837824,0.0,0.0,0.1935483870967742,8.67741935483871,0.2129032258064516
0.01,base,base_a_2_52,предтурбулентный цикл,155,0.016129032258064516,0.0,0.0,0.967741935483871,1.032258064516129,0.9935483870967742
0.01,delay,delay_g_0_2,устойчивое насыщение с памятью,155,0.36603011683656844,0.025806451612903226,0.012903225806451613,0.5741935483870968,4.664516129032258,0.21935483870967742
0.01,delay,delay_g_0_8,затухающие колебания,155,0.01812316715542522,0.0,0.0,0.9741935483870968,1.135483870967742,0.43870967741935485
0.01,delay,delay_g_1_25,усиленный цикл,155,0.03870967741935484,0.0,0.0,0.9225806451612903,1.0774193548387097,1.0
0.01,mixed,mixed_q_1_5_gamma_0_5,смешанная память и стационаризация,155,0.4686319415351674,0.532258064516129,0.36129032258064514,0.08387096774193549,4.7290322580645165,0.12258064516129032
0.01,mixed,mixed_q_1_5_gamma_neg_0_2,отрицательная память и стационаризация,155,0.43053530698691994,0.08387096774193549,0.0,0.3161290322580645,6.251612903225807,0.5096774193548387
0.01,mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",155,0.03225806451612903,0.03225806451612903,0.0,0.967741935483871,2.0,1.0
0.05,base,base_a_0_8,устойчивое насыщение,155,0.07521156263091747,0.8064516129032258,0.8064516129032258,0.1032258064516129,0.7741935483870968,0.07096774193548387
0.05,base,base_a_2_2,затухающие колебания,155,0.7338160405902341,0.0,0.0,0.16774193548387098,8.703225806451613,0.2129032258064516
0.05,base,base_a_2_52,предтурбулентный цикл,155,0.07419354838709677,0.0,0.0,0.8516129032258064,1.1483870967741936,0.9935483870967742
0.05,delay,delay_g_0_2,устойчивое насыщение с памятью,155,0.3918365684494717,0.025806451612903226,0.012903225806451613,0.5225806451612903,4.716129032258064,0.21935483870967742
0.05,delay,delay_g_0_8,затухающие колебания,155,0.06592375366568916,0.0,0.0,0.8838709677419355,1.2838709677419355,0.43870967741935485
0.05,delay,delay_g_1_25,усиленный цикл,155,0.23978494623655913,0.0,0.0,0.5290322580645161,1.4967741935483871,1.0
0.05,mixed,mixed_q_1_5_gamma_0_5,смешанная память и стационаризация,155,0.46808616115067725,0.5064516129032258,0.3548387096774194,0.07741935483870968,4.896774193548387,0.12258064516129032
0.05,mixed,mixed_q_1_5_gamma_neg_0_2,отрицательная память и стационаризация,155,0.43644928548154355,0.08387096774193549,0.0,0.3096774193548387,6.2709677419354835,0.5096774193548387
0.05,mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",155,0.04301075268817204,0.03225806451612903,0.0,0.9354838709677419,2.0451612903225804,1.0
0.1,base,base_a_0_8,устойчивое насыщение,155,0.07843736908253036,0.8064516129032258,0.8064516129032258,0.0967741935483871,0.7806451612903226,0.07096774193548387
0.1,base,base_a_2_2,затухающие колебания,155,0.7338160405902341,0.0,0.0,0.16774193548387098,8.703225806451613,0.2129032258064516
0.1,base,base_a_2_52,предтурбулентный цикл,155,0.11612903225806452,0.0,0.0,0.7677419354838709,1.232258064516129,0.9935483870967742
0.1,delay,delay_g_0_2,устойчивое насыщение с памятью,155,0.4063038216264023,0.01935483870967742,0.012903225806451613,0.4967741935483871,4.7612903225806456,0.21935483870967742
0.1,delay,delay_g_0_8,затухающие колебания,155,0.1071423916585207,0.0,0.0,0.8129032258064516,1.4193548387096775,0.43870967741935485
0.1,delay,delay_g_1_25,усиленный цикл,155,0.3881720430107527,0.0,0.0,0.2645161290322581,1.8580645161290323,1.0
0.1,mixed,mixed_q_1_5_gamma_0_5,смешанная память и стационаризация,155,0.4604005492715171,0.4935483870967742,0.3548387096774194,0.08387096774193549,4.941935483870968,0.12258064516129032
0.1,mixed,mixed_q_1_5_gamma_neg_0_2,отрицательная память и стационаризация,155,0.44290089838476937,0.08387096774193549,0.0,0.2903225806451613,6.290322580645161,0.5096774193548387
0.1,mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",155,0.025806451612903226,0.012903225806451613,0.0,0.9483870967741935,2.0387096774193547,1.0
