alpha,interpretability,windows,false_lag_rate,miss_rate,no_model_share,exact_recovery,mean_selected_count
0.01,collinearity_heavy,227,0.7549535633236073,0.0022026431718061676,0.0,0.1277533039647577,9.48898678414097
0.01,interpretable,708,0.042984934086629005,0.03531073446327684,0.0,0.905367231638418,1.4138418079096045
0.01,low_dispersion,460,0.2899978825522304,0.4434782608695652,0.3978260869565217,0.26521739130434785,3.356521739130435
0.05,collinearity_heavy,227,0.7615614928390259,0.0022026431718061676,0.0,0.1145374449339207,9.502202643171806
0.05,interpretable,708,0.11331214689265535,0.03248587570621469,0.0,0.7627118644067796,1.5776836158192091
0.05,low_dispersion,460,0.30171521111738503,0.4391304347826087,0.39565217391304347,0.24565217391304348,3.4413043478260867
0.1,collinearity_heavy,227,0.7615614928390259,0.0022026431718061676,0.0,0.1145374449339207,9.502202643171806
0.1,interpretable,708,0.15662664783427496,0.026836158192090395,0.0,0.6765536723163842,1.6878531073446328
0.1,low_dispersion,460,0.31281675450153706,0.43478260869565216,0.39565217391304347,0.22608695652173913,3.5043478260869567
