alpha,model,windows,false_lag_rate,miss_rate,no_model_share,exact_recovery,mean_selected_count
0.01,base,465,0.2694454529938401,0.26881720430107525,0.26881720430107525,0.4236559139784946,3.486021505376344
0.01,delay,465,0.1409543204704495,0.008602150537634409,0.004301075268817204,0.8236559139784946,2.29247311827957
0.01,mixed,465,0.3104751043460721,0.2161290322580645,0.12043010752688173,0.4559139784946237,4.326881720430108
0.05,base,465,0.2944070505360828,0.26881720430107525,0.26881720430107525,0.3741935483870968,3.541935483870968
0.05,delay,465,0.23251508945057334,0.008602150537634409,0.004301075268817204,0.6451612903225806,2.498924731182796
0.05,mixed,465,0.3158487331067977,0.2075268817204301,0.11827956989247312,0.44086021505376344,4.404301075268817
0.1,base,465,0.30946081397694297,0.26881720430107525,0.26881720430107525,0.34408602150537637,3.5720430107526884
0.1,delay,465,0.3005394187652252,0.0064516129032258064,0.004301075268817204,0.524731182795699,2.6795698924731184
0.1,mixed,465,0.30970263308972984,0.1967741935483871,0.11827956989247312,0.44086021505376344,4.423655913978495
