model,case,windows,regime_accuracy,tool_accuracy,bad_window_recall,informative_retention
base,base_a_0_8,155,0.8709677419354839,0.8709677419354839,1.0,0.9
base,base_a_1_5,155,0.9290322580645162,0.9290322580645162,1.0,0.45454545454545453
base,base_a_2_2,155,0.9483870967741935,0.9483870967741935,,0.9483870967741935
base,base_a_2_8,155,1.0,1.0,1.0,
delay,delay_g_0_2,155,0.7806451612903226,0.7806451612903226,1.0,0.48484848484848486
delay,delay_g_0_8,155,0.6645161290322581,0.8709677419354839,1.0,0.6153846153846154
delay,delay_g_1_25,155,0.0,1.0,,1.0
delay,delay_g_1_6,155,1.0,1.0,1.0,
mixed,mixed_q_1_5_gamma_0_5,155,0.8838709677419355,0.8838709677419355,1.0,0.18181818181818182
mixed,mixed_q_1_5_gamma_neg_0_2,155,0.0,0.8903225806451613,,0.8903225806451613
mixed,mixed_q_2_8_gamma_0_5,155,0.632258064516129,0.632258064516129,,0.632258064516129
mixed,mixed_q_3_5_gamma_0_5,155,1.0,1.0,1.0,
