model,case,regime,windows,degraded_share,low_dispersion_share,collinearity_share,mean_var_x,mean_var_omega,median_cond_raw,median_cond_scaled,mean_max_vif,false_lag_rate,no_model_share,mean_pairwise_beta,mean_true_beta_mass_share
base,base_a_0_8,устойчивое насыщение,155,0.9096774193548387,0.8709677419354839,0.03870967741935484,0.003512646393199079,0.0022480936916474117,3.113756813275209e+302,0.0,131786955947.38135,0.07129451193967323,0.8064516129032258,0.09161290322580645,0.06646636643669389
base,base_a_2_2,затухающие колебания,155,0.8064516129032258,0.0,0.8064516129032258,0.043384731964843284,0.20998210270984147,1.8745265825011785e+101,2.8007101480983853e+109,170673451915.6199,0.7209128147837824,0.0,0.4038709677419355,0.1353050869767523
base,base_a_2_52,предтурбулентный цикл,155,0.03225806451612903,0.0,0.03225806451612903,0.08697493935862013,0.5523256549029812,6373686101939839.0,3515551318886417.0,181900617498.78085,0.016129032258064516,0.0,0.9516129032258065,0.569437074123101
delay,delay_g_0_2,устойчивое насыщение с памятью,155,0.6,0.5741935483870968,0.025806451612903226,0.003690864261101528,0.00014763516496155396,5.3308921048717696e+17,1515940454675.2407,192140915771.6862,0.36603011683656844,0.012903225806451613,0.5387096774193548,0.2974764692578742
delay,delay_g_0_8,затухающие колебания,155,0.6645161290322581,0.6645161290322581,0.0,0.005000379181256324,0.004000668889129669,6.742586119335811e+16,29577231533.19501,183635624074.18918,0.01812316715542522,0.0,0.7883870967741936,0.5517344595335574
delay,delay_g_1_25,усиленный цикл,155,0.07741935483870968,0.0,0.07741935483870968,0.35170643505634586,0.5491964326966858,61.799039108044404,68.03390879219963,116700.19035800011,0.03870967741935484,0.0,1.0,0.9999999999999611
mixed,mixed_q_1_5_gamma_0_5,смешанная память и стационаризация,155,0.9225806451612903,0.8580645161290322,0.06451612903225806,3.996345642150617e-05,0.0001561000162813895,2.9865118036639e+17,198290316681.56863,100114872114.95842,0.46791509565703115,0.36129032258064514,0.43333333333333335,0.23609267114958907
mixed,mixed_q_1_5_gamma_neg_0_2,отрицательная память и стационаризация,155,0.5483870967741935,0.0,0.5483870967741935,0.06012273992761255,0.19411376411322498,2.325951281658406e+17,6.15728068805012e+16,72293378231.53015,0.43053530698691994,0.0,0.7132616487455197,0.45569578774444747
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",155,0.03870967741935484,0.0,0.03870967741935484,0.055730420375794135,0.3303591840686245,125506126.01124817,63998063.465876296,115802088901.14023,0.034408602150537634,0.0,1.0,0.996664593811314
