var_omega_threshold,cond_scaled_threshold,balanced_accuracy,recall,specificity,precision,predicted_share
2.4373e-08,2.8007101480983853e+109,0.9338582175188066,0.8779803646563815,0.9897360703812317,0.9889415481832543,0.45376344086021503
2.4373e-08,7.0273554920790616e+16,0.92939563942369,0.9130434782608695,0.9457478005865103,0.9462209302325582,0.4931899641577061
0.000241134675,7.0273554920790616e+16,0.909569042458243,0.9467040673211781,0.8724340175953079,0.8858267716535433,0.546236559139785
0.000241134675,2.8007101480983853e+109,0.8971694504653831,0.9116409537166901,0.8826979472140762,0.8904109589041096,0.5232974910394266
2.4373e-08,1.4210165779046722e+16,0.8952887925538697,0.9298737727910238,0.8607038123167156,0.8746701846965699,0.5433691756272402
0.000241134675,1.4210165779046722e+16,0.8754621955884228,0.9635343618513323,0.7873900293255132,0.8257211538461539,0.596415770609319
2.4373e-08,249738360389633.16,0.8261507076373837,0.9396914446002805,0.7126099706744868,0.7736720554272517,0.6207885304659498
0.21,7.0273554920790616e+16,0.8189787071273746,0.9649368863955119,0.6730205278592375,0.7552140504939627,0.6530465949820788
0.000241134675,249738360389633.16,0.8122210888690552,0.9719495091164095,0.6524926686217009,0.7451612903225806,0.6666666666666666
0.21,2.8007101480983853e+109,0.8105954354201198,0.9467040673211781,0.6744868035190615,0.7525083612040134,0.6430107526881721
0.21,1.4210165779046722e+16,0.798323345658549,0.97054698457223,0.626099706744868,0.7307286166842661,0.678853046594982
2.4373e-08,2479453661936.698,0.794434527604233,0.9481065918653576,0.6407624633431085,0.7339847991313789,0.6602150537634408
0.000241134675,2479453661936.698,0.7828318245569297,0.9747545582047685,0.5909090909090909,0.7135523613963038,0.6982078853046595
2.4373e-08,39520986093.8663,0.7642483743465511,0.9537166900420757,0.5747800586510264,0.7010309278350515,0.6953405017921147
0.000241134675,39520986093.8663,0.7527731735305367,0.9747545582047685,0.530791788856305,0.6847290640394089,0.7275985663082437
0.21,249738360389633.16,0.7461749330613285,0.9747545582047685,0.5175953079178885,0.6787109375,0.7340501792114695
0.0,7.0273554920790616e+16,0.7409792171362999,0.5259467040673211,0.9560117302052786,0.9259259259259259,0.2903225806451613
0.21,2479453661936.698,0.7204832334565855,0.9761570827489481,0.46480938416422285,0.6559849198868991,0.760573476702509
0.0,2.8007101480983853e+109,0.708976157082749,0.4179523141654979,1.0,1.0,0.21362007168458783
0.0,1.4210165779046722e+16,0.7068723702664796,0.5427769985974754,0.8709677419354839,0.8147368421052632,0.34050179211469533
0.21,39520986093.8663,0.6992222363891368,0.9761570827489481,0.4222873900293255,0.6385321100917432,0.7813620071684588
0.0,39520986093.8663,0.6618640826214459,0.7489481065918654,0.5747800586510264,0.6480582524271845,0.5906810035842294
0.0,249738360389633.16,0.6362361341323473,0.5539971949509116,0.718475073313783,0.6729131175468483,0.42078853046594983
0.0,2479453661936.698,0.6282353691189595,0.6157082748948106,0.6407624633431085,0.6418128654970761,0.49032258064516127
