variant,window,lags,series_count,mean_var_omega,mean_acf1,mean_acf2,mean_no_model_share,mean_cond,mean_r2
adj_smoothed,24,3,47,0.0005791792424778545,0.9862229279588607,0.951737662025672,0.0,69.86232885740822,0.9485162901589486
adj_unsmoothed,24,3,47,0.006600939390327567,0.8876598295149137,0.8569615007610037,0.0,3.4524706167408095,0.4059054972576314
raw,24,3,47,0.02360332425133354,0.7300634325899443,0.6187766712408259,0.0,3.389283883341718,0.5029954565598527
adj_smoothed,24,6,47,0.0005791792424778545,0.9862229279588607,0.951737662025672,0.0,620.6375701974964,0.9796978277479854
adj_unsmoothed,24,6,47,0.006600939390327567,0.8876598295149137,0.8569615007610037,0.0,5.35829876663584,0.5504408760029494
raw,24,6,47,0.02360332425133354,0.7300634325899443,0.6187766712408259,0.0,5.370920320926902,0.6386890628967463
adj_smoothed,36,3,47,0.0005791792424778545,0.9862229279588607,0.951737662025672,0.0,82.9764789589923,0.9422534731301878
adj_unsmoothed,36,3,47,0.006600939390327567,0.8876598295149137,0.8569615007610037,0.0,4.176969014503193,0.3219530661903931
raw,36,3,47,0.02360332425133354,0.7300634325899443,0.6187766712408259,0.0,3.4943159992493014,0.4519305633270674
adj_smoothed,36,6,47,0.0005791792424778545,0.9862229279588607,0.951737662025672,0.0,768.8357713046506,0.9722282449152305
adj_unsmoothed,36,6,47,0.006600939390327567,0.8876598295149137,0.8569615007610037,0.0,6.010876619492927,0.411819396099714
raw,36,6,47,0.02360332425133354,0.7300634325899443,0.6187766712408259,0.0,4.96600116977881,0.551459170469119
