sector_2d,firms,median_2010,median_2014,median_2022,sector_name,included,focus_sector
51,2957,70885.0,84207.0,77863.0,Прочая оптовая торговля,True,False
52,2468,46140.5,51971.5,44043.0,"Розничная торговля в неспециализированных магазинах преимущественно пищевыми продуктами, включая напитки, и табачными изделиями",True,False
70,2321,42739.0,39295.0,23338.0,Сдача внаем собственного нежилого недвижимого имущества,True,False
45,1323,75795.0,95984.0,66254.0,Строительство зданий и сооружений,True,False
01,1035,44529.0,65391.0,119945.0,Растениеводство в сочетании с животноводством (смешанное сельское хозяйство),True,False
15,865,244852.0,358372.0,495563.0,Производство хлеба и мучных кондитерских изделий недлительного хранения,True,False
74,694,51915.5,56395.0,43637.0,"Деятельность в области архитектуры, инженерно техническое проектирование в промышленности и строительстве",True,False
63,493,81392.0,89057.0,117848.0,Хранение и складирование зерна,True,False
50,456,44974.0,45917.0,36903.5,"Оптовая торговля автомобильными деталями, узлами и принадлежностями",True,False
40,440,168066.5,241464.5,300087.0,Производство пара и горячей воды (тепловой энергии) котельными,True,False
55,421,39109.0,49270.0,51030.0,Деятельность ресторанов,True,False
26,392,201049.0,305084.0,330689.5,Производство изделий из бетона для использования в строительстве,True,False
85,357,82668.0,102916.0,149273.0,Деятельность санаторно-курортных учреждений,True,False
28,350,85925.5,108298.0,133809.5,Производство строительных металлических конструкций,True,False
29,307,107993.0,135627.0,256873.0,"Производство машин и оборудования для изготовления пищевых продуктов, включая напитки, и табачных изделий",True,False
22,293,34068.0,34724.0,32524.0,"Полиграфическая деятельность, не включенная в другие группировки",True,False
25,269,60033.0,87673.0,172902.0,"Производство пластмассовых плит, полос, труб и профилей",True,False
60,262,83881.5,108794.0,112550.0,Деятельность автомобильного грузового неспециализированного транспорта,True,False
93,245,14202.0,15049.0,15025.0,Организация похорон и предоставление связанных с ними услуг,True,False
24,245,124913.0,194239.0,347848.0,Производство прочих фармацевтических продуктов и изделий медицинского назначения,True,False
72,236,64469.0,81937.0,76721.5,Разработка программного обеспечения,True,False
41,167,183091.0,203152.0,276119.0,Распределение воды,True,False
31,151,60840.0,72912.0,84257.0,"Предоставление услуг по монтажу, ремонту и техническому обслуживанию прочего электрооборудования, не включенного в другие группировки",True,False
36,145,83412.0,100054.0,121746.0,Производство мебели для офисов и предприятий торговли,True,False
21,128,152780.0,181356.5,436160.0,"Производство гофрированного картона, бумажной и картонной тары",True,False
64,127,73858.0,90566.0,65301.0,Деятельность в области электросвязи,True,False
05,126,116719.0,172644.0,297962.0,Рыболовство в открытых районах Мирового океана и внутренних морских водах,True,False
20,112,127583.5,183282.0,356810.0,"Производство клееной фанеры, древесных плит и панелей",True,False
18,112,41961.5,54946.5,64651.0,Производство спецодежды,True,False
91,99,21827.0,23037.0,24257.0,"Деятельность прочих общественных организаций, не включенных в другие группировки",False,False
80,99,32970.0,42606.0,44246.0,Начальное и среднее профессиональное образование,False,False
11,93,1449076.0,1870002.0,3297631.0,Добыча сырой нефти,False,False
02,91,102324.0,116260.0,197194.0,Лесозаготовки,False,False
33,84,69034.0,77593.0,112264.0,"Производство изделий медицинской техники, включая хирургическое оборудование, и ортопедических приспособлений",False,False
92,82,44715.5,56609.0,50958.5,Деятельность спортивных объектов,False,False
17,82,58815.5,66504.5,72972.5,"Производство готовых текстильных изделий, кроме одежды",False,False
71,61,42153.0,44088.0,21603.0,Аренда прочих машин и оборудования научного и промышленного назначения,False,False
65,59,160784.0,144069.0,111981.0,Финансовый лизинг,False,False
61,57,289326.0,410498.0,474117.0,Деятельность внутреннего водного грузового транспорта,False,False
27,56,292249.5,392111.5,901993.0,Производство стальных труб и фитингов,False,False
34,42,293463.5,506121.5,681846.0,"Производство автомобильных кузовов; производство прицепов, полуприцепов и контейнеров, предназначенных для перевозки одним или несколькими видами транспорта",False,False
37,41,248244.0,214131.0,163678.0,Обработка отходов и лома черных металлов,False,False
62,34,731542.0,1181845.5,2407480.0,"Деятельность воздушного пассажирского транспорта, подчиняющегося расписанию",False,False
14,30,82240.0,162261.0,458070.5,Разработка гравийных и песчаных карьеров,False,False
19,24,125169.0,130251.0,163806.0,Производство обуви,False,False
35,21,136315.0,296696.0,336344.0,"Предоставление услуг по ремонту, техническому обслуживанию и переделке железнодорожных локомотивов, трамвайных и прочих моторных вагонов и подвижного состава",False,False
10,18,430647.0,679008.5,1914881.5,Обогащение каменного угля,False,False
30,14,85467.0,109027.5,75454.5,Производство электронных вычислительных машин и прочего оборудования для обработки информации,False,False
23,12,4175279.5,4668243.0,18174597.0,Производство нефтепродуктов,False,False
13,9,1764592.0,3000625.0,6068075.0,Добыча железных руд открытым способом,False,False
16,8,4852015.5,7425523.0,7050868.5,Производство табачных изделий,False,False
32,5,147092.0,281665.0,76979.0,Производство электровакуумных приборов,False,False
67,4,19826.0,13244.5,13511.0,Деятельность страховых агентов,False,False
73,3,15629.0,10510.0,31204.0,Научные исследования и разработки в области естественных и технических наук,False,False
75,3,18995.0,8624.0,2442.0,"Регулирование и содействие эффективному ведению экономической деятельности, деятельность в области региональной, национальной и молодежной политики",False,False
